url,Beds,Baths,Square FT,Pricing,Address
https://rentals.ca/ottawa/655-755-anand-private,1 - 2 ,1 - 2 ,604 - 1080 ,$1695 - $2235,"655 & 755 Anand Private - Ottawa, ON"
https://rentals.ca/ottawa/440-gloucester,1 ,1 ,474 - 593 ,$1450 - $1600,"440 Gloucester - Ottawa, ON"
https://rentals.ca/ottawa/851-richmond-road,0 ,1 ,400 ,$1385,"851 Richmond Road - Ottawa, ON"
https://rentals.ca/ottawa/211-wurtemburg-street,1 - 2 ,1 ,695 - 925 ,$1700 - $2290,"211 Wurtemburg Street - Ottawa, ON"
https://rentals.ca/ottawa/22-murray-street,1 ,1 ,670 ,$1799,"22 Murray Street - Ottawa, ON"
https://rentals.ca/ottawa/328-frank-st-1,2 ,2 ,N/A,$2200,"328 Frank St. - Ottawa, ON"
https://rentals.ca/ottawa/729-cooper-st,0 ,1 ,380 ,$1250,"729 Cooper St. - Ottawa, ON"
https://rentals.ca/ottawa/196-james-unit-1,1 ,1 ,N/A,$1295,"8 - 196 James Street - Ottawa, ON"
https://rentals.ca/ottawa/west-236,1 - 2 ,1 - 2 ,836 - 1019 ,$2609 - $3185,"236 Richmond Road - Ottawa, ON"
https://rentals.ca/ottawa/1-bedale-drive,2 ,2 ,950 - 1010 ,$2500,"1 Bedale Drive - Ottawa, ON"
https://rentals.ca/ottawa/447-green-avenue,5 ,3.5 ,N/A,$5550,"447 Green Avenue - Ottawa, ON"
https://rentals.ca/nepean/589-lilith,3 ,4 ,N/A,$2400,"589 Lilith - Ottawa, ON"
https://rentals.ca/ottawa/176-woodroffe-avenue,3.5 ,2.5 ,N/A,$2750,"176 Woodroffe Avenue - Ottawa, ON"
https://rentals.ca/nepean/134-maynooth,3 ,4 ,N/A,$2400,"134 Maynooth - Ottawa, ON"
https://rentals.ca/gloucester/860-blackthorne,2 ,1 ,854 ,$1905,"860 Blackthorne Avenue - Ottawa, ON"
https://rentals.ca/ottawa/80-nelson-street,0 ,1 ,N/A,$1175,"80 Nelson Street - Ottawa, ON"
https://rentals.ca/ottawa/805-carling,1 ,1 ,N/A,$2500,"805 Carling - Ottawa, ON"
https://rentals.ca/ottawa/196-beechwood,0 - 2 ,1 ,N/A,$1800 - $2550,"196 Beechwood - Ottawa, ON"
https://rentals.ca/ottawa/163-maclaren-street,1 - 2 ,1 ,466 - 690 ,$1590 - $1950,"163 MacLaren Street - Ottawa, ON"
https://rentals.ca/ottawa/744-larcastle-cir,4 ,3.5 ,2500 ,$2900,"744 Larcastle Cir - Ottawa, ON"
https://rentals.ca/ottawa/256-rideau,0 - 2 ,1 ,310 - 470 ,$1200 - $2500,"256 Rideau - Ottawa, ON"
https://rentals.ca/ottawa/330-mcleod,0 ,1 ,218 - 288 ,$1425 - $1575,"330 McLeod - Ottawa, ON"
https://rentals.ca/ottawa/939-weston-drive,3 ,2 ,N/A,$2495,"939 Weston Drive - Ottawa, ON"
https://rentals.ca/ottawa/1785-1815-baseline-road,2 ,1 ,570 - 1080 ,$1699 - $1999,"1785-1815 Baseline Road - Ottawa, ON"
https://rentals.ca/ottawa/556-laurier-ave-w,1 ,1 ,N/A,$2345,"556 Laurier Ave W - Ottawa, ON"
https://rentals.ca/ottawa/556-laurier-ave-w-id695664,1 ,1 ,N/A,$2345,"556 Laurier Ave W - Ottawa, ON"
https://rentals.ca/ottawa/560-rideau-street,1 ,1 ,503 ,$2000,"560 Rideau Street - Ottawa, ON"
https://rentals.ca/ottawa/146-montfort-street,2 ,1 ,N/A,$2000,"146 Montfort Street - Ottawa, ON"
https://rentals.ca/ottawa/444-cambridge-street,4 ,2 ,N/A,$3200,"444 Cambridge Street - Ottawa, ON"
https://rentals.ca/ottawa/201-baribeau-street,3 ,2.5 ,N/A,$3000,"201 Baribeau Street - Ottawa, ON"
https://rentals.ca/ottawa/660-hochelaga-street,3 ,2.5 ,1700 ,$2400,"660 Hochelaga Street - Ottawa, ON"
https://rentals.ca/ottawa/442-nelson-street,0 ,1 ,N/A,$950,"442 Nelson Street - Ottawa, ON"
https://rentals.ca/ottawa/470-laurier-ave-w,2 ,1.5 ,N/A,$2195,"470 Laurier Ave W - Ottawa, ON"
https://rentals.ca/ottawa/3385-riverside-drive,5 ,1.5 ,N/A,$4100,"3385 Riverside Drive - Ottawa, ON"
https://rentals.ca/ottawa/137-westphalian-avenue-1,3 ,2.5 ,N/A,$2250,"137 Westphalian Avenue - 1 - Ottawa, ON"
https://rentals.ca/ottawa/wentworth-plaza,0 - 1 ,1 ,305 - 760 ,$1459 - $1859,"257 Lisgar Street - Ottawa, ON"
https://rentals.ca/ottawa/60-herridge-st,3 ,2 ,1400 ,$2750,"60 Herridge St - Ottawa, ON"
https://rentals.ca/ottawa/canterbury-square,1 - 3 ,1 - 1.5 ,540 - 930 ,$1600 - $2190,"810-860 Canterbury Avenue - Ottawa, ON"
https://rentals.ca/ottawa/lunen-haus,1 - 2 ,1 - 2 ,577 - 962 ,$1800 - $2100,"1161 Heron Road - Ottawa, ON"
https://rentals.ca/ottawa/165-chapel-street,0 - 2.5 ,1 - 2 ,474 - 1113 ,$1759 - $2699,"165 Chapel Street - Ottawa, ON"
https://rentals.ca/ottawa/355-gilmour-street,2 ,1 ,N/A,$2095,"355 Gilmour Street - Ottawa, ON"
https://rentals.ca/ottawa/623-wild-shore-crescent,3 ,2.5 ,N/A,$2400,"623 Wild Shore Crescent - Ottawa, ON"
https://rentals.ca/ottawa/185-lyon-street-north-1,1 - 2 ,1 ,N/A,$3570 - $5670,"185 Lyon Street North - Ottawa, ON"
https://rentals.ca/nepean/33-banner-road,1 ,1 ,644 ,$1610,"33 Banner Road - Ottawa, ON"
https://rentals.ca/ottawa/105-champagne-avenue-south,1 - 2 ,1 - 2 ,317 - 645 ,$1075 - $2200,"105 Champagne Avenue South - Ottawa, ON"
https://rentals.ca/gloucester/150-whispering-winds-way,1 - 2 ,1 - 2 ,641 - 796 ,$1700 - $2050,"150 Whispering Winds Way - Ottawa, ON"
https://rentals.ca/ottawa/139-mancini-way,3 ,2.5 ,1800 ,$2250,"139 Mancini Way - Ottawa, ON"
https://rentals.ca/ottawa/liv-apartments,1 - 2 ,1 - 2 ,455 - 877 ,$1795 - $2885,"207 Bell Street - Ottawa, ON"
https://rentals.ca/ottawa/218-maclaren,1 ,1 ,695 ,$1975,"218 MacLaren Street - Ottawa, ON"
https://rentals.ca/ottawa/57-bayswater,0 - 1 ,1 ,299 - 418 ,$1469 - $1709,"57 Bayswater Avenue - Ottawa, ON"
https://rentals.ca/nepean/forest-ridge,1 - 3 ,1 - 1.5 ,593 - 1297 ,$1769 - $2450,"2380 Baseline Road - Ottawa, ON"
https://rentals.ca/ottawa/parkway-park,1 - 2 ,1 ,677 - 928 ,$1729 - $2045,"1394 Highgate Road - Ottawa, ON"
https://rentals.ca/ottawa/335-metcalfe-street,1 - 2 ,1 ,817 - 953 ,$1749 - $2195,"335 Metcalfe Street - Ottawa, ON"
https://rentals.ca/ottawa/225-maclaren,1 - 2 ,1 ,634 - 864 ,$1759 - $2149,"225 MacLaren Street - Ottawa, ON"
https://rentals.ca/ottawa/arbor-village-1276-dorchester,1 ,1 ,539 - 581 ,$1525 - $1575,"1276 Dorchester Avenue - Ottawa, ON"
https://rentals.ca/nepean/1-ullswater-drive,2 - 3 ,1 ,802 - 1082 ,$1879 - $2329,"1 Ullswater Drive - Ottawa, ON"
https://rentals.ca/ottawa/197-cumberland-street,0 ,1 ,359 ,$1205,"197 Cumberland Street - Ottawa, ON"
https://rentals.ca/ottawa/475-485-king-edward,1 ,1 ,653 ,$1765,"475 King Edward Avenue - Ottawa, ON"
https://rentals.ca/ottawa/473-albert-street,0 - 2 ,1 - 2 ,427 - 1163 ,$1765 - $3235,"473 Albert Street - Ottawa, ON"
https://rentals.ca/ottawa/350-mayfield-st,0 - 2 ,1 ,650 - 950 ,$1250 - $2200,"350 Mayfield St. - Ottawa, ON"
https://rentals.ca/ottawa/324-cambridge,1 - 2 ,1 ,760 - 1180 ,$1450 - $1950,"324 Cambridge - Ottawa, ON"
https://rentals.ca/kanata/730373057307-campeau-drive,1 - 2 ,1 - 2 ,667 - 1190 ,$2150 - $2559,"7303/7305/7307 Campeau Drive - Ottawa, ON"
https://rentals.ca/ottawa/85-range-road,0 ,1 ,503 ,$1510,"85 Range Road - Ottawa, ON"
https://rentals.ca/ottawa/1500-walkley-road,1 - 2 ,1 ,649 - 863 ,$1599 - $1709,"1500 Walkley Road - Ottawa, ON"
https://rentals.ca/ottawa/1735-frobisher-lane,1 ,1 ,500 ,$1459,"1735 Frobisher Lane - Ottawa, ON"
https://rentals.ca/ottawa/61-mcewen-avenue,1 ,1 ,960 ,$1550,"61 McEwen Avenue - Ottawa, ON"
https://rentals.ca/ottawa/333-metcalfe,1 ,1 ,950 ,$1750,"333 Metcalfe - Ottawa, ON"
https://rentals.ca/ottawa/61-parent-avenue-19,0 - 1 ,1 ,N/A,$175 - $1350,"61 Parent Avenue - 209 - Ottawa, ON"
https://rentals.ca/ottawa/84-russell-avenue,4 ,2 ,N/A,$910,"84 Russell Avenue - 2A - Ottawa, ON"
https://rentals.ca/ottawa/1598-digby-street,2 ,2 ,N/A,$2400,"1598 Digby Street - Ottawa, ON"
https://rentals.ca/ottawa/64-parent-avenue-1,2 ,1 ,N/A,$2300,"64 Parent Avenue - 1 - Ottawa, ON"
https://rentals.ca/ottawa/130-besserer-st,1 ,1 ,N/A,$1795,"130 Besserer St. - Ottawa, ON"
https://rentals.ca/ottawa/28-pretoria-avenue-1,1 ,1 ,546 ,$2050 - $2150,"28 Pretoria Avenue - Ottawa, ON"
https://rentals.ca/ottawa/435-albert-st,1 - 2 ,1.5 - 2 ,N/A,$1950 - $2450,"435 Albert St. - Ottawa, ON"
